epsilon,A,L_numerical,L_asymptotic,difference
0.1,1.9,8.233110644304022,8.190366465237181,0.04274417906684036
0.05,1.95,10.173232167123922,10.150882752174274,0.02234941494964815
0.02,1.98,12.751753318993329,12.742544312360675,0.009209006632653782
0.01,1.99,14.707715588755637,14.70306059929777,0.004654989457867131
0.005,1.995,16.665918096824726,16.663576886234864,0.0023412105898614755
0.002,1.998,19.25617850678322,19.25523844642126,0.0009400603619589276
0.001,1.999,21.21622540961745,21.21575473335836,0.0004706762590913627
