N,h,L1_Qh_aligned,weak_test_aligned,L1_Qh_shifted,weak_test_shifted
50,0.03830692897220536,0.000182917675201532,6.105707606802634e-05,0.16045121560738815,0.10199175694975902
100,0.01915346448610268,5.18837878826348e-05,1.9155076499326115e-05,0.11314033845994839,0.07123681870250369
200,0.00957673224305134,1.450502910553854e-05,5.7496599897086555e-06,0.07989186719666062,0.05001599552791984
400,0.00478836612152567,4.009191873882479e-06,1.676338920573786e-06,0.05645368788669658,0.03523247833749803
800,0.002394183060762835,1.0979561325542728e-06,4.786692952514685e-07,0.039905455980364005,0.0248641215237704
1600,0.0011970915303814176,2.9839410697445326e-07,1.3454664110777702e-07,0.02821278661631544,0.0175639616271222
3200,0.0005985457651907088,8.077426422967515e-08,3.735444474442351e-08,0.019947840266023243,0.012413303860240935
