N,h,L1_Q_aligned,weak_test_aligned,L1_Q_shifted,weak_test_shifted
50,0.03391513288235974,0.020562370130840415,0.00961366231677939,0.024400722503401518,0.01133754617589456
100,0.01695756644117987,0.009584947159339151,0.004155235833839731,0.010482190697937117,0.0047306542986137
200,0.008478783220589935,0.004295135065559266,0.001752260625378493,0.004407980579039135,0.001948272269510455
400,0.004239391610294968,0.0018662653634875608,0.0007243484222115078,0.0018209462560885839,0.0007927666818047509
800,0.002119695805147484,0.0007912412512548009,0.0002945794834168076,0.0007410885340944262,0.0003190278624803987
1600,0.001059847902573742,0.00032886312650285543,0.00011819341338740002,0.0002978277439984296,0.00012710500273637373
3200,0.000529923951286871,0.000134472519037535,4.689122181878572e-05,0.00011841240838188544,5.0189775508029576e-05
