N,h,L1_Q_aligned,weak_test_aligned,L1_Q_shifted,weak_test_shifted
50,0.25132741228718347,0.07781201475214815,0.00659272131663205,0.091884251298724,0.007936630815283195
100,0.12566370614359174,0.026434111119594407,0.0023176293164302885,0.030590454992300044,0.002711844321388736
200,0.06283185307179587,0.008819045514067802,0.0007896830616603128,0.010072305190041278,0.0009083967251823014
400,0.031415926535897934,0.0029033285969376236,0.00026371209047054245,0.0032868477804465822,0.00030004420896116946
800,0.015707963267948967,0.0009463223430897236,8.683739235738564e-05,0.001064876958600454,9.807171381617227e-05
1600,0.007853981633974483,0.0003061209044316863,2.8302712003836655e-05,0.0003430153605845339,3.179960778663113e-05
3200,0.003926990816987242,9.84519541939991e-05,9.154051157132418e-06,0.00010998383880631838,1.024719447889252e-05
